slnoskm17mar11,permanentid,y1pccust,inf1pcma,sector,year,ld1pcla,st1pcdev,cs1pccmk,hr3pcsat,pm1pcvc,iirtotal,icat7total
1,B-179,68.11,71.67,1,1990,76.25,80,80,80,66.32,686,204
2,,28.11,23.33,1,1990,10,22.86,40,0,22.11,147,46
3,,74.59,73.33,1,1990,73.75,80,80,60,72.63,704,243
4,,18.92,15,1,1990,11.25,17.14,26,0,24.21,124,29
5,,62.7,55,1,1990,86.25,45.71,70,70,66.32,612,184
6,B-053,52.43,31.67,1,1990,21.25,68.57,66,0,40,284,86
7,B-045,17.84,23.33,1,1990,18.75,34.29,40,0,28.42,140,36
8,,60.54,60,1,1990,72.5,80,66,50,64.21,609,196
9,,44.32,35,1,1990,22.5,68.57,60,0,31.58,253,73
10,,52.43,26.67,1,1990,26.25,57.14,66,0,35.79,269,84
11,,38.92,35,1,1990,30,62.86,66,0,41.05,277,76
12,,64.86,71.67,1,1990,68.75,57.14,56,60,73.68,616,185
13,B-011,55.68,66.67,1,1990,67.5,91.43,70,80,71.58,660,208
14,,45.41,46.67,1,1990,21.25,74.29,40,0,42.11,279,60
15,,25.95,23.33,1,1990,22.5,57.14,20,0,24.21,171,38
16,B-123,53.51,20,1,1990,17.5,51.43,60,0,32.63,263,75
17,B-080,51.35,41.67,1,1990,26.25,68.57,70,0,33.68,286,83
18,B-018,65.41,65,1,1990,76.25,68.57,70,70,69.47,664,199
19,,41.62,43.33,1,1990,22.5,68.57,50,0,41.05,267,63
20,,27.03,26.67,1,1990,15,57.14,36,0,16.84,170,46
21,,55.14,43.33,1,1990,28.75,80,70,0,36.84,322,93
22,,27.03,30,1,1990,15,45.71,56,0,32.63,190,56
23,,47.03,30,1,1990,18.75,57.14,56,0,31.58,260,76
24,B-101,31.35,35,1,1990,22.5,51.43,46,0,30.53,213,59
25,B-178,25.95,23.33,1,1990,15,40,36,0,29.47,163,46
26,,77.3,91.67,1,1990,86.25,102.86,90,90,80,811,227
27,,45.95,35,1,1990,21.25,51.43,76,0,36.84,252,91
28,B-061,25.95,18.33,1,1990,7.5,22.86,30,0,16.84,127,41
29,,23.24,26.67,1,1990,26.25,62.86,70,0,37.89,235,53
30,B-160,18.92,23.33,1,1990,21.25,40,50,0,33.68,185,43
31,,66.49,60,1,1990,66.25,80,70,60,62.11,641,193
32,,76.76,88.33,1,1990,76.25,102.86,90,70,81.05,792,247
33,B-005,17.84,30,1,1990,17.5,28.57,30,0,24.21,152,38
34,,73.51,73.33,1,1990,76.25,80,70,70,74.74,711,227
35,B-200,62.16,71.67,1,1990,67.5,80,70,70,71.58,635,195
36,B-166,53.51,80,1,1990,73.75,68.57,66,80,56.84,645,206
37,,55.14,23.33,1,1990,18.75,80,40,0,34.74,257,78
38,B-163,70.27,73.33,1,1990,77.5,68.57,80,30,66.32,659,228
39,,78.92,75,1,1990,72.5,91.43,80,50,58.95,686,214
40,B-159,54.59,31.67,1,1990,25,68.57,56,0,32.63,273,91
41,,30.27,35,1,1990,18.75,51.43,36,0,25.26,201,49
42,,7.57,30,1,1990,21.25,40,20,0,14.74,127,15
43,,58.92,38.33,1,1990,28.75,80,60,0,35.79,311,88
44,,62.16,41.67,1,1990,25,80,70,0,38.95,325,108
45,B-052,1.62,6.67,1,1990,15,11.43,10,0,12.63,58,8
46,,40,26.67,2,1990,11.25,40,40,0,21.05,189,60
47,B-038,12.97,11.67,2,1990,7.5,22.86,20,0,26.32,88,15
48,,35.14,23.33,2,1990,18.75,51.43,46,0,29.47,213,61
49,,33.51,23.33,2,1990,15,34.29,50,0,32.63,195,60
50,,73.51,71.67,2,1990,72.5,68.57,80,80,55.79,664,228
51,B-085,52.97,58.33,2,1990,72.5,68.57,70,40,62.11,566,166
52,B-138,58.38,30,2,1990,26.25,68.57,70,0,37.89,300,90
53,,71.89,75,2,1990,78.75,74.29,76,80,73.68,706,240
54,,61.62,23.33,2,1990,18.75,34.29,50,0,31.58,245,83
55,,65.41,60,2,1990,60,68.57,70,70,56.84,608,209
56,,54.59,71.67,2,1990,70,80,70,60,76.84,605,169
57,,44.32,23.33,2,1990,15,34.29,40,0,27.37,198,71
58,B-113,7.57,18.33,2,1990,3.75,22.86,30,0,14.74,81,25
59,B-094,62.7,75,2,1990,76.25,68.57,70,70,66.32,661,205
60,,45.95,38.33,2,1990,18.75,62.86,50,0,27.37,246,63
61,B-031,23.24,20,2,1990,11.25,28.57,56,0,23.16,157,59
62,B-023,51.35,23.33,2,1990,17.5,34.29,66,0,25.26,235,81
63,,10.27,18.33,2,1990,17.5,51.43,40,0,27.37,145,30
64,B-144,36.76,43.33,3,1990,28.75,62.86,56,0,38.95,249,71
65,,23.24,20,3,1990,15,28.57,30,0,17.89,140,33
66,,18.92,11.67,3,1990,13.75,28.57,46,0,18.95,147,46
67,,18.38,23.33,3,1990,15,34.29,30,0,21.05,131,30
68,,27.57,30,3,1990,30,57.14,30,0,31.58,205,40
69,,37.84,30,3,1990,15,45.71,56,0,35.79,214,59
70,,34.05,43.33,3,1990,26.25,62.86,56,0,33.68,239,61
71,,54.05,30,3,1990,22.5,57.14,56,0,30.53,271,79
72,,55.68,66.67,3,1990,81.25,68.57,60,50,70.53,619,215
73,,38.38,30,3,1990,18.75,45.71,40,0,41.05,225,55
74,,40.54,30,3,1990,25,40,46,0,28.42,230,74
75,,0,6.67,3,1990,15,17.14,26,0,7.37,56,13
76,B-092,36.22,23.33,3,1990,21.25,45.71,46,0,32.63,205,59
77,,48.11,60,3,1990,70,57.14,50,45,58.95,557,173
78,,42.7,23.33,3,1990,22.5,51.43,66,0,33.68,235,83
79,B-014,30.81,20,3,1990,13.75,45.71,36,0,30.53,191,48
80,,46.49,46.67,3,1990,28.75,80,40,0,42.11,257,63
81,,63.24,70,3,1990,86.25,91.43,76,75,57.89,716,212
82,B-157,31.35,18.33,3,1990,11.25,34.29,30,0,22.11,155,53
83,,45.95,20,3,1990,15,34.29,56,0,35.79,241,73
84,B-184,61.08,51.67,3,1990,67.5,68.57,70,40,51.58,550,187
85,,9.73,20,3,1990,10,34.29,26,0,20,106,21
86,,7.57,18.33,3,1990,13.75,28.57,26,0,11.58,86,18
87,B-169,34.59,15,3,1990,21.25,28.57,30,0,10.53,145,55
88,B-071,56.22,66.67,3,1990,65,68.57,60,70,60,619,211
89,,45.41,35,3,1990,28.75,80,56,0,36.84,269,73
90,B-155,42.16,20,3,1990,18.75,45.71,46,0,23.16,197,84
91,,17.3,23.33,3,1990,17.5,28.57,30,0,17.89,144,33
92,,26.49,30,3,1990,25,57.14,60,0,29.47,196,60
93,B-051,38.38,30,3,1990,26.25,68.57,36,0,35.79,233,58
94,B-030,41.62,35,3,1990,22.5,45.71,56,0,23.16,238,76
95,,28.65,30,3,1990,26.25,45.71,30,0,16.84,186,53
96,,61.08,30,3,1990,22.5,57.14,40,0,40,289,90
97,,48.26,52.86,1,1991,56.25,60,56.67,44,62.22,509,152
98,,43.04,42.86,1,1991,50,51.43,46.67,40,47.78,410,134
99,,33.91,52.86,1,1991,60,60,56.67,60,60,464,115
100,,73.91,72.86,1,1991,73.75,74.29,76.67,76,73.33,734,225
101,B-052,30.87,24.29,1,1991,20,25.71,40,52,35.56,280,103
102,B-020,53.91,60,1,1991,71.25,80,70,60,73.33,633,180
103,B-178,32.17,42.86,1,1991,55,34.29,36.67,40,42.22,376,105
104,,57.83,42.86,1,1991,47.5,54.29,66.67,32,76.67,530,184
105,B-179,67.83,74.29,1,1991,75,71.43,70,72,70,693,191
106,,70.87,72.86,1,1991,71.25,80,80,72,73.33,706,200
107,B-080,71.3,68.57,1,1991,76.25,71.43,70,72,72.22,696,221
108,B-089,75.65,47.14,1,1991,71.25,60,70,80,73.33,681,199
109,B-073,52.17,57.14,1,1991,61.25,60,66.67,40,57.78,552,177
110,B-011,60,51.43,1,1991,72.5,60,70,72,70,626,195
111,,30.87,21.43,1,1991,32.5,11.43,40,20,36.67,289,94
112,,23.91,18.57,1,1991,16.25,0,20,20,15.56,160,78
113,B-166,46.96,45.71,1,1991,52.5,45.71,46.67,52,53.33,474,144
114,B-005,60.43,68.57,1,1991,70,54.29,60,52,63.33,603,189
115,B-160,18.7,20,1,1991,36.25,20,56.67,36,36.67,272,86
116,B-123,40.87,41.43,1,1991,40,40,40,20,55.56,389,108
117,B-142,47.83,48.57,1,1991,50,40,60,36,48.89,446,167
118,B-200,75.65,65.71,1,1991,76.25,71.43,80,60,66.67,686,217
119,,73.04,71.43,1,1991,71.25,74.29,70,72,75.56,681,209
120,,49.13,45.71,1,1991,45,51.43,56.67,56,51.11,494,179
121,B-176,49.57,52.86,1,1991,42.5,34.29,66.67,40,46.67,483,155
122,B-022,36.96,20,1,1991,36.25,20,36.67,24,45.56,311,132
123,B-018,53.91,61.43,1,1991,66.25,60,66.67,52,57.78,596,179
124,,51.74,58.57,1,1991,48.75,74.29,70,36,63.33,541,166
125,B-066,33.91,44.29,1,1991,43.75,34.29,16.67,44,46.67,355,86
126,,56.09,58.57,1,1991,66.25,60,66.67,52,65.56,587,194
127,B-112,50.43,50,1,1991,46.25,51.43,60,52,51.11,476,159
128,B-159,36.96,51.43,1,1991,66.25,51.43,56.67,32,60,452,126
129,,46.09,42.86,1,1991,53.75,51.43,56.67,52,52.22,485,127
130,B-061,39.57,20,1,1991,38.75,31.43,30,40,42.22,339,101
131,B-161,31.3,30,1,1991,38.75,34.29,50,44,50,345,113
132,,43.48,14.29,1,1991,17.5,20,30,12,23.33,248,131
133,B-163,63.04,72.86,1,1991,73.75,71.43,80,52,62.22,613,197
134,B-148,66.96,57.14,2,1991,73.75,51.43,70,60,55.56,620,202
135,B-041,58.7,57.14,2,1991,58.75,51.43,60,64,58.89,577,179
136,,76.96,67.14,2,1991,77.5,80,86.67,64,75.56,723,242
137,,23.48,12.86,2,1991,40,25.71,26.67,32,46.67,244,80
138,,76.96,67.14,2,1991,65,60,70,60,60,654,212
139,B-031,21.3,34.29,2,1991,46.25,31.43,36.67,24,43.33,330,87
140,,70,62.86,2,1991,76.25,60,60,60,46.67,620,198
141,,33.91,18.57,2,1991,43.75,25.71,70,24,30,331,130
142,,56.09,44.29,2,1991,58.75,60,66.67,40,55.56,544,183
143,B-102,17.83,30,2,1991,36.25,40,36.67,24,31.11,278,97
144,,23.48,17.14,2,1991,31.25,25.71,30,20,30,259,101
145,,26.09,40,2,1991,28.75,5.71,30,36,32.22,248,75
146,,55.65,47.14,2,1991,55,40,66.67,36,65.56,532,183
147,,47.39,38.57,2,1991,42.5,40,56.67,52,40,455,159
148,B-023,58.7,54.29,2,1991,67.5,71.43,66.67,52,61.11,599,187
149,,24.35,21.43,2,1991,25,20,36.67,20,40,244,61
150,B-038,15.65,28.57,2,1991,31.25,25.71,40,12,38.89,221,63
151,,53.91,57.14,2,1991,61.25,54.29,60,40,57.78,530,178
152,B-138,59.13,48.57,2,1991,70,40,80,52,66.67,584,212
153,B-094,63.04,47.14,2,1991,72.5,51.43,70,60,57.78,585,195
154,B-085,46.52,45.71,2,1991,51.25,45.71,50,36,55.56,467,151
155,,13.48,30,3,1991,43.75,34.29,30,44,44.44,252,40
156,,18.26,27.14,3,1991,42.5,25.71,20,16,38.89,266,68
157,,73.04,61.43,3,1991,67.5,71.43,76.67,52,53.33,653,225
158,B-054,43.91,37.14,3,1991,40,34.29,46.67,40,45.56,426,131
159,B-064,30.87,41.43,3,1991,50,51.43,46.67,32,56.67,399,96
160,B-157,39.13,32.86,3,1991,45,25.71,60,36,40,350,137
161,,10.43,14.29,3,1991,35,11.43,20,36,12.22,178,59
162,B-103,42.17,34.29,3,1991,65,45.71,30,40,51.11,444,163
163,B-071,47.83,42.86,3,1991,43.75,34.29,56.67,56,56.67,477,166
164,,38.26,35.71,3,1991,51.25,40,40,64,43.33,413,132
165,B-155,31.74,27.14,3,1991,33.75,25.71,30,24,41.11,316,115
166,B-056,38.26,27.14,3,1991,58.75,31.43,36.67,40,35.56,382,116
167,,56.09,47.14,3,1991,63.75,54.29,50,56,60,532,177
168,,5.22,5.71,3,1991,20,11.43,6.67,24,14.44,107,26
169,,28.26,10,3,1991,31.25,20,30,20,18.89,203,89
170,B-121,33.48,40,3,1991,55,54.29,60,36,25.56,357,117
171,,30.87,30,3,1991,52.5,45.71,36.67,20,36.67,382,131
172,B-092,34.35,28.57,3,1991,42.5,40,30,20,54.44,337,99
173,,26.52,30,3,1991,27.5,31.43,40,32,41.11,296,73
174,B-184,50,57.14,3,1991,60,40,40,44,54.44,507,147
175,,1.74,2.86,3,1991,12.5,11.43,26.67,12,7.78,83,29
176,,30.87,27.14,3,1991,42.5,31.43,60,52,61.11,387,143
177,,16.09,35.71,3,1991,45,40,40,40,34.44,323,97
178,,13.04,17.14,3,1991,40,25.71,40,36,33.33,210,69
179,,1.74,17.14,3,1991,41.25,20,26.67,24,20,158,40
180,,24.78,12.86,3,1991,36.25,20,40,40,25.56,277,81
181,B-117,18.26,32.86,3,1991,38.75,14.29,46.67,20,34.44,268,85
182,B-014,46.52,37.14,3,1991,43.75,51.43,46.67,40,60,437,121
183,,21.74,11.43,3,1991,35,14.29,30,0,28.89,196,46
184,B-051,46.96,44.29,3,1991,68.75,34.29,36.67,40,50,425,120
185,,43.91,42.86,3,1991,80,45.71,50,60,43.33,509,176
186,,20.87,15.71,3,1991,26.25,25.71,16.67,16,35.56,237,96
187,,25.65,30,3,1991,30,11.43,26.67,36,24.44,260,78
188,B-167,20,40,3,1991,57.5,31.43,60,52,50,364,112
189,B-139,16.96,21.43,3,1991,45,31.43,26.67,32,33.33,252,60
190,,6.96,17.14,3,1991,36.25,20,50,12,47.78,209,63
191,,6.96,11.43,3,1991,21.25,5.71,10,36,18.89,140,37
192,,36.96,28.57,3,1991,51.25,20,46.67,40,40,339,114
193,,13.04,4.29,3,1991,11.25,11.43,30,16,14.44,134,66
194,B-120,40.87,34.29,3,1991,46.25,45.71,36.67,44,58.89,422,123
195,,28.26,27.14,3,1991,33.75,20,56.67,36,43.33,313,104
196,B-198,29.13,34.29,3,1991,40,31.43,40,0,27.78,304,123
197,,5.65,12.86,3,1991,18.75,11.43,10,24,21.11,136,32
198,,2.17,24.29,3,1991,18.75,0,16.67,20,25.56,119,25
199,B-025,50,55.71,3,1991,57.5,40,56.67,40,46.67,454,143
200,,23.48,31.43,3,1991,48.75,31.43,30,32,40,326,96
201,B-030,49.13,54.29,3,1991,65,40,50,40,44.44,493,167
202,B-192,14.78,15.71,3,1991,20,20,30,12,23.33,164,43
203,B-020,58.67,72.5,1,1992,80,71.43,65.71,52,67.78,658,193
204,B-179,75.11,71.25,1,1992,80,74.29,74.29,64,73.33,720,224
205,B-017,64,66.25,1,1992,71.43,71.43,71.43,52,71.11,671,207
206,,63.56,60,1,1992,71.43,71.43,60,52,60,590,182
207,,48.44,56.25,1,1992,60,65.71,60,52,67.78,530,174
208,,10.22,27.5,1,1992,14.29,34.29,14.29,20,31.11,207,45
209,B-089,66.67,65,1,1992,74.29,71.43,54.29,72,66.67,657,185
210,,38.22,43.75,1,1992,54.29,54.29,45.71,40,58.89,461,117
211,,56.44,58.75,1,1992,64.29,71.43,71.43,44,62.22,592,183
212,,43.56,28.75,1,1992,40,31.43,60,40,41.11,365,141
213,B-191,38.22,32.5,1,1992,57.14,65.71,54.29,44,61.11,466,136
214,B-045,33.78,37.5,1,1992,68.57,31.43,40,40,58.89,437,112
215,B-176,53.78,45,1,1992,51.43,60,51.43,44,51.11,506,167
216,,18.22,27.5,1,1992,21.43,20,25.71,40,51.11,249,67
217,,47.11,66.25,1,1992,68.57,54.29,51.43,52,63.33,559,169
218,,50.22,73.75,1,1992,60,80,60,52,68.89,585,165
219,B-112,45.33,55,1,1992,57.14,65.71,71.43,52,58.89,507,164
220,,48.89,55,1,1992,60,54.29,60,40,77.78,537,171
221,,20,26.25,1,1992,34.29,31.43,14.29,36,41.11,290,66
222,,48.44,46.25,1,1992,57.14,51.43,45.71,40,63.33,493,140
223,,70.22,56.25,1,1992,68.57,60,60,44,82.22,633,200
224,,57.33,47.5,1,1992,67.14,60,60,52,61.11,567,184
225,B-005,58.67,66.25,1,1992,74.29,71.43,60,60,60,609,197
226,B-142,60,48.75,1,1992,61.43,45.71,45.71,44,57.78,483,161
227,B-158,32,37.5,1,1992,62.86,45.71,34.29,36,56.67,390,109
228,,35.11,32.5,1,1992,37.14,40,40,40,41.11,365,111
229,,26.67,32.5,1,1992,41.43,40,0,24,45.56,335,70
230,B-161,28.44,43.75,1,1992,54.29,40,40,40,63.33,421,105
231,B-064,56.89,61.25,1,1992,60,60,51.43,60,68.89,600,183
232,B-159,55.11,58.75,1,1992,75.71,45.71,51.43,60,56.67,546,163
233,B-066,50.22,55,1,1992,65.71,60,54.29,52,56.67,521,161
234,B-043,55.11,66.25,2,1992,60,60,51.43,44,56.67,529,165
235,,41.78,48.75,2,1992,60,60,51.43,44,57.78,488,129
236,B-031,38.67,38.75,2,1992,68.57,51.43,40,52,51.11,454,144
237,B-113,16.89,32.5,2,1992,31.43,25.71,14.29,32,31.11,248,76
238,,53.33,48.75,2,1992,55.71,51.43,40,44,43.33,509,162
239,B-148,76.89,58.75,2,1992,62.86,51.43,60,52,55.56,618,224
240,B-041,67.11,62.5,2,1992,71.43,51.43,51.43,60,55.56,620,189
241,,23.56,25,2,1992,41.43,25.71,20,36,24.44,270,72
242,,68.44,63.75,2,1992,81.43,74.29,60,60,71.11,680,203
243,,53.33,57.5,2,1992,64.29,60,51.43,60,56.67,550,166
244,,53.78,71.25,2,1992,67.14,71.43,71.43,52,63.33,616,190
245,,63.56,66.25,2,1992,80,60,51.43,40,43.33,571,182
246,B-009,44.89,52.5,2,1992,58.57,51.43,51.43,52,52.22,511,143
247,B-085,61.78,61.25,2,1992,65.71,45.71,60,52,60,599,201
248,B-023,67.11,72.5,2,1992,77.14,80,51.43,52,58.89,658,193
249,,1.78,16.25,3,1992,34.29,20,11.43,12,20,153,42
250,B-010,63.11,73.75,3,1992,74.29,80,54.29,56,73.33,693,199
251,,15.11,11.25,3,1992,14.29,14.29,14.29,16,15.56,157,57
252,,3.56,10,3,1992,28.57,0,0,24,30,114,27
253,,11.56,16.25,3,1992,22.86,20,11.43,16,25.56,188,50
254,B-184,55.11,62.5,3,1992,67.14,60,60,60,61.11,588,188
255,,28.89,35,3,1992,52.86,45.71,31.43,36,53.33,377,99
256,B-054,63.56,52.5,3,1992,67.14,51.43,60,72,52.22,613,208
257,B-151,21.78,23.75,3,1992,40,25.71,20,44,35.56,279,79
258,,0,17.5,3,1992,18.57,20,31.43,20,26.67,133,37
259,B-046,21.78,31.25,3,1992,40,31.43,25.71,32,53.33,322,88
260,,28.89,53.75,3,1992,62.86,71.43,51.43,40,55.56,459,125
261,B-157,45.33,46.25,3,1992,60,34.29,51.43,44,55.56,478,142
262,B-102,30.22,42.5,3,1992,57.14,60,40,40,35.56,389,127
263,,12,11.25,3,1992,27.14,40,25.71,32,23.33,206,73
264,B-071,70.22,63.75,3,1992,68.57,54.29,65.71,72,56.67,626,211
265,,23.56,28.75,3,1992,42.86,20,40,52,54.44,343,107
266,B-198,13.33,31.25,3,1992,58.57,40,40,20,23.33,279,96
267,,25.33,43.75,3,1992,27.14,34.29,45.71,36,44.44,331,89
268,,8.44,30,3,1992,41.43,45.71,31.43,32,40,292,61
269,B-103,56.44,40,3,1992,62.86,40,31.43,44,53.33,501,166
270,,8.89,15,3,1992,34.29,20,11.43,24,12.22,162,49
271,,53.33,61.25,3,1992,72.86,40,31.43,40,50,534,162
272,,20.44,15,3,1992,31.43,11.43,20,20,21.11,169,61
273,,28.44,25,3,1992,40,34.29,20,24,35.56,288,100
274,,33.78,42.5,3,1992,41.43,40,31.43,44,50,345,99
275,B-169,3.56,5,3,1992,24.29,20,11.43,20,13.33,130,28
276,,43.56,38.75,3,1992,42.86,40,40,20,32.22,408,151
277,,25.33,28.75,3,1992,35.71,45.71,31.43,32,31.11,287,89
278,B-122,55.56,62.5,3,1992,74.29,74.29,60,64,57.78,614,198
279,B-069,56.89,41.25,3,1992,64.29,71.43,51.43,40,55.56,521,191
280,,15.11,30,3,1992,38.57,31.43,31.43,24,42.22,249,66
281,B-139,12,35,3,1992,61.43,31.43,31.43,40,47.78,321,77
282,,8.44,23.75,3,1992,65.71,20,11.43,44,25.56,233,30
283,B-030,44.89,48.75,3,1992,57.14,45.71,40,44,50,443,147
284,B-192,38.67,58.75,3,1992,70,74.29,51.43,52,63.33,528,137
285,,32,41.25,3,1992,42.86,51.43,40,40,56.67,394,114
286,B-131,16.44,28.75,3,1992,40,20,40,40,46.67,303,92
287,,15.11,32.5,3,1992,48.57,51.43,25.71,40,54.44,323,63
288,B-167,47.11,55,3,1992,77.14,51.43,45.71,60,54.44,539,163
289,B-117,28,45,3,1992,37.14,40,45.71,24,33.33,325,126
290,,3.56,10,3,1992,17.14,11.43,14.29,16,17.78,96,11
291,B-025,43.56,60,3,1992,77.14,60,40,52,51.11,525,142
292,,16.89,21.25,3,1992,50,25.71,31.43,40,46.67,262,77
293,,41.62,34.67,1,1993,57.14,60,60,32,55.56,416,144
294,,37.3,57.33,1,1993,60,71.43,60,52,56.67,484,135
295,B-161,25.41,30.67,1,1993,51.43,51.43,40,40,54.44,364,86
296,,50.81,50.67,1,1993,60,51.43,60,40,68.89,525,155
297,,57.84,72,1,1993,71.43,71.43,71.43,52,76.67,627,173
298,B-017,61.62,62.67,1,1993,71.43,71.43,71.43,52,68.89,646,200
299,B-073,60.54,68,1,1993,64.29,80,71.43,60,75.56,630,215
300,,76.22,70.67,1,1993,77.14,80,71.43,72,78.89,726,229
301,,44.86,73.33,1,1993,71.43,71.43,71.43,40,72.22,555,163
302,,24.86,40,1,1993,57.14,51.43,51.43,20,65.56,366,84
303,,50.27,50.67,1,1993,44.29,31.43,71.43,40,68.89,481,159
304,,54.05,45.33,1,1993,72.86,60,71.43,40,47.78,528,193
305,,50.27,48,1,1993,67.14,60,51.43,52,68.89,545,155
306,,23.78,32,1,1993,44.29,31.43,51.43,52,48.89,353,98
307,,37.3,52,1,1993,67.14,71.43,60,40,62.22,511,157
308,,54.05,46.67,1,1993,68.57,80,51.43,60,68.89,588,169
309,,50.81,62.67,1,1993,71.43,71.43,71.43,40,72.22,585,167
310,,70.27,66.67,1,1993,77.14,80,71.43,40,74.44,693,225
311,B-177,56.22,41.33,1,1993,60,60,60,52,68.89,514,172
312,,48.11,46.67,1,1993,77.14,60,71.43,52,51.11,504,163
313,,67.03,69.33,1,1993,78.57,80,71.43,44,78.89,682,203
314,,1.62,14.67,1,1993,20,0,11.43,12,27.78,82,7
315,B-028,57.3,61.33,1,1993,80,71.43,60,52,74.44,618,189
316,B-101,60,57.33,1,1993,67.14,51.43,60,60,67.78,571,172
317,B-072,35.68,46.67,1,1993,67.14,51.43,51.43,40,68.89,448,111
318,B-142,54.59,46.67,1,1993,51.43,51.43,60,32,60,440,148
319,B-048,41.62,28,1,1993,67.14,40,51.43,32,52.22,442,122
320,B-064,39.46,54.67,1,1993,64.29,51.43,60,40,64.44,497,132
321,B-093,47.03,60,1,1993,77.14,60,65.71,60,73.33,592,164
322,,30.81,14.67,1,1993,28.57,11.43,20,0,53.33,233,84
323,B-120,56.22,50.67,1,1993,57.14,51.43,51.43,44,71.11,548,171
324,,21.08,20,1,1993,31.43,31.43,40,40,33.33,246,55
325,,55.14,54.67,2,1993,67.14,60,80,52,67.78,614,221
326,B-031,50.81,50.67,2,1993,87.14,60,65.71,64,60,565,181
327,,61.62,53.33,2,1993,61.43,51.43,60,60,62.22,588,186
328,B-024,18.92,33.33,2,1993,60,40,51.43,40,44.44,361,107
329,,55.14,65.33,2,1993,51.43,31.43,60,32,47.78,510,199
330,B-019,68.11,65.33,2,1993,77.14,71.43,80,52,78.89,660,214
331,,62.16,62.67,2,1993,67.14,71.43,60,52,68.89,602,177
332,,41.62,44,2,1993,47.14,51.43,51.43,32,55.56,393,112
333,,61.62,60,2,1993,77.14,60,71.43,40,66.67,632,202
334,,32.97,34.67,2,1993,57.14,60,31.43,32,48.89,342,67
335,,60,60,2,1993,60,71.43,71.43,40,63.33,577,184
336,B-044,60,57.33,2,1993,67.14,71.43,60,60,66.67,603,193
337,,49.19,48,2,1993,57.14,60,60,40,54.44,482,129
338,,37.3,34.67,3,1993,38.57,51.43,60,32,48.89,385,109
339,B-010,68.65,52,3,1993,80,60,60,72,60,667,205
340,B-054,73.51,53.33,3,1993,77.14,60,71.43,60,55.56,667,225
341,,50.27,69.33,3,1993,75.71,71.43,74.29,80,63.33,622,193
342,B-144,45.41,54.67,3,1993,55.71,71.43,60,36,56.67,500,174
343,B-131,10.27,25.33,3,1993,44.29,31.43,31.43,20,41.11,275,79
344,,53.51,52,3,1993,71.43,60,71.43,40,62.22,565,180
345,,1.62,17.33,3,1993,20,20,11.43,20,13.33,115,30
346,,58.38,48,3,1993,68.57,51.43,51.43,52,68.89,510,177
347,,18.92,34.67,3,1993,52.86,51.43,40,32,40,327,85
348,,20,22.67,3,1993,34.29,31.43,31.43,32,47.78,287,83
349,,3.24,14.67,3,1993,27.14,20,20,12,7.78,100,20
350,,11.89,12,3,1993,17.14,20,20,20,24.44,160,54
351,,43.24,30.67,3,1993,71.43,51.43,51.43,40,53.33,450,118
